state,field_name,dashboard_value,semantic_definition_in_code,paper_value,external_source_value,match_status,action_needed,notes
California,initial cars,37428700.0,initial_data.total_cars modeled light-duty vehicle stock,32060000.0,37428700,corrected,kept after correction,AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA California electricity sources: https://www.eia.gov/states/CA/analysis and https://www.eia.gov/electricity/state/California/
California,initial EV share,0.040982,initial_data.total_ev / initial_data.total_cars; BEV-only share,0.055265,0.040982,corrected,kept after correction,Relabeled explicitly as BEV share.
California,initial clean fraction,0.656,initial_data.f_clean; modeled low-carbon electricity share in the grid-emissions blend,0.54,0.656,corrected,kept after correction,AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA California electricity sources: https://www.eia.gov/states/CA/analysis and https://www.eia.gov/electricity/state/California/
California,cav parameter,0.45,Target autonomous-vehicle fleet fraction by 2075 under _update_quantities(),0.45,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
California,sti parameter,0.5,Target STI coverage fraction by 2075 under _update_quantities(),0.5,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
California,EV growth parameter,0.07,Annual BEV-share growth assumption through the active adoption curve,0.07,n/a scenario assumption,supported,keep,This control still behaves like an annual rate under the default exponential curve.
California,clean-energy growth parameter,0.05,Annual growth assumption for the modeled low-carbon electricity share,0.05,n/a scenario assumption,supported,keep,Growth assumption rather than a measured public statistic.
California,hardware efficiency parameter,2.8,Years required for computing energy to halve for newer cohorts,2.8,n/a scenario assumption,supported,keep,Relabeled explicitly as doubling time.
California,service life / retirement parameter,12.0,Fixed operating-life horizon before vehicle cohorts retire,12.0,n/a scenario assumption,supported,keep,Displayed as vehicle service life.
Ohio,initial cars,10385000.0,initial_data.total_cars modeled light-duty vehicle stock,8000000.0,10385000,corrected,kept after correction,AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA Ohio electricity sources: https://www.eia.gov/electricity/state/Ohio/
Ohio,initial EV share,0.006683,initial_data.total_ev / initial_data.total_cars; BEV-only share,0.005936,0.006683,corrected,kept after correction,Relabeled explicitly as BEV share.
Ohio,initial clean fraction,0.247,initial_data.f_clean; modeled low-carbon electricity share in the grid-emissions blend,0.08,0.247,corrected,kept after correction,AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA Ohio electricity sources: https://www.eia.gov/electricity/state/Ohio/
Ohio,cav parameter,0.45,Target autonomous-vehicle fleet fraction by 2075 under _update_quantities(),0.45,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
Ohio,sti parameter,0.5,Target STI coverage fraction by 2075 under _update_quantities(),0.5,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
Ohio,EV growth parameter,0.07,Annual BEV-share growth assumption through the active adoption curve,0.07,n/a scenario assumption,supported,keep,This control still behaves like an annual rate under the default exponential curve.
Ohio,clean-energy growth parameter,0.05,Annual growth assumption for the modeled low-carbon electricity share,0.05,n/a scenario assumption,supported,keep,Growth assumption rather than a measured public statistic.
Ohio,hardware efficiency parameter,2.8,Years required for computing energy to halve for newer cohorts,2.8,n/a scenario assumption,supported,keep,Relabeled explicitly as doubling time.
Ohio,service life / retirement parameter,12.0,Fixed operating-life horizon before vehicle cohorts retire,12.0,n/a scenario assumption,supported,keep,Displayed as vehicle service life.
U.S. Average (synthetic CA/OH midpoint),initial cars,23906850.0,initial_data.total_cars modeled light-duty vehicle stock,20030000.0,Synthetic mean of corrected California and Ohio values,synthetic-labeled,kept after correction,Synthetic arithmetic midpoint of corrected California and Ohio baselines; not an official U.S. national statistic.
U.S. Average (synthetic CA/OH midpoint),initial EV share,0.033532,initial_data.total_ev / initial_data.total_cars; BEV-only share,0.045414,Synthetic mean of corrected California and Ohio values,synthetic-labeled,kept after correction,Relabeled explicitly as BEV share.
U.S. Average (synthetic CA/OH midpoint),initial clean fraction,0.4515,initial_data.f_clean; modeled low-carbon electricity share in the grid-emissions blend,0.51,Synthetic mean of corrected California and Ohio values,synthetic-labeled,kept after correction,Synthetic arithmetic midpoint of corrected California and Ohio baselines; not an official U.S. national statistic.
U.S. Average (synthetic CA/OH midpoint),cav parameter,0.24,Target autonomous-vehicle fleet fraction by 2075 under _update_quantities(),0.24,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
U.S. Average (synthetic CA/OH midpoint),sti parameter,0.03,Target STI coverage fraction by 2075 under _update_quantities(),0.03,n/a scenario assumption,relabeled,kept with semantics fix,No longer presented as a literal annual growth rate.
U.S. Average (synthetic CA/OH midpoint),EV growth parameter,0.07,Annual BEV-share growth assumption through the active adoption curve,0.07,n/a scenario assumption,supported,keep,This control still behaves like an annual rate under the default exponential curve.
U.S. Average (synthetic CA/OH midpoint),clean-energy growth parameter,0.05,Annual growth assumption for the modeled low-carbon electricity share,0.05,n/a scenario assumption,supported,keep,Growth assumption rather than a measured public statistic.
U.S. Average (synthetic CA/OH midpoint),hardware efficiency parameter,3.8,Years required for computing energy to halve for newer cohorts,3.8,n/a scenario assumption,supported,keep,Relabeled explicitly as doubling time.
U.S. Average (synthetic CA/OH midpoint),service life / retirement parameter,12.0,Fixed operating-life horizon before vehicle cohorts retire,12.0,n/a scenario assumption,supported,keep,Displayed as vehicle service life.
