feature,importance_rf
growth_rates.efficiency_doubling,0.30223938301558195
consumption_rates.cav_levels[2],0.08571641624331607
consumption_rates.ecav_scale_factors.L4,0.06901010239548037
growth_rates.ev,0.05663712611883045
consumption_rates.ecav_scale_factors.computing,0.05543212261968646
consumption_rates.sti_scale_factors.Semi,0.0519842377929967
growth_rates.cav,0.037466642548952094
consumption_rates.sti_levels[2],0.03634708935112488
consumption_rates.cav_levels[1],0.03413205540521548
consumption_rates.ecav_scale_factors.L5,0.029320402859058577
consumption_rates.sti_levels[0],0.019210744077334238
emission_factors.e_clean,0.01884885484257582
consumption_rates.sti_scale_factors.Basic,0.018301502630118118
consumption_rates.sti_scale_factors.communication,0.018297903985032154
consumption_rates.sti_scale_factors.computing,0.016103200384181195
consumption_rates.cav_levels[0],0.014084759433714884
consumption_rates.ecav_scale_factors.communication,0.01377877082949436
consumption_rates.sti_levels[1],0.013526899744931835
consumption_rates.ecav_scale_factors.L3,0.012436564225503849
consumption_rates.sti_scale_factors.sensing,0.012258705689748446
consumption_rates.ecav_scale_factors.sensing,0.011981078955893305
consumption_rates.sti_scale_factors.Highly,0.01134831126166427
emission_factors.e_gasoline,0.010659736296698658
emission_factors.e_fossil,0.010063179987406051
growth_rates.total_car_increase,0.0099174023814093
growth_rates.clean_energy,0.009242409107394928
consumption_rates.cohort_decay_factor,0.006295475809259751
growth_rates.sti,0.0058204398013650864
growth_rates.retire_year,0.005671145482650325
initial_data.f_clean,0.003867336723380438
